Код клиента	ФИО	Дата рождения	Адрес	Паспортные данные
45462573	Черепанова Анна Давидовна	06.11.1985	660924, г. Москва, ул. Молодежная, 32, кв. 59	Серия 3497 Номер 487819
45462574	Григорьев Максим Кириллович	26.05.1999	644133, г. Москва, ул. Гагарина, 28, кв. 69	Серия 3560 Номер 491260
45462575	Голубев Даниэль Александрович	14.06.1999	450698, г. Москва, ул. Вокзальная, 14, кв. 37	Серия 3620 Номер 506034
45462576	Миронов Юрий Денисович	26.01.1985	620653, г. Москва, ул. Западная, 15, кв. 25	Серия 3774 Номер 511438
45462577	Терехов Михаил Андреевич	06.07.1976	644321, г. Москва, ул. Клубная, 32, кв. 10	Серия 3862 Номер 521377
45462578	Орлова Алиса Михайловна	24.02.1997	603653, г. Москва, ул. Молодежная, 2, кв. 45	Серия 3084 Номер 535966
45462579	Кулаков Константин Даниилович	20.06.1993	410181, г. Москва, ул. Механизаторов, 16, кв. 74	Серия 4021 Номер 541528
45462580	Кудрявцев Максим Романович	10.05.1998	394207, г. Москва, ул. Свердлова, 31, кв. 28	Серия 4109 Номер 554053
45462581	Соболева Кира Фёдоровна	14.03.1998	420633, г. Москва, ул. Матросова, 18, кв. 41	Серия 4537 Номер 564868
45462582	Коновалов Арсений Максимович	18.02.1985	445720, г. Москва, ул. Матросова, 50, кв. 67	Серия 4914 Номер 572471
45462583	Гусев Михаил Дмитриевич	23.11.1999	400646, г. Москва, ул. Октябрьская, 47, кв. 65	Серия 4445 Номер 581302
45462584	Суханова Варвара Матвеевна	13.09.1993	644410, г. Москва, ул. Красная, 17, кв. 69	Серия 4743 Номер 598180
45462585	Орлова Ясмина Васильевна	24.06.1984	400750, г. Москва, ул. Школьная, 36, кв. 71	Серия 4741 Номер 601821
45462586	Васильева Ксения Константиновна	01.08.1999	660590, г. Москва, ул. Дачная, 37, кв. 70	Серия 4783 Номер 612567
45462587	Борисова Тамара Данииловна	29.05.1993	426083, г. Москва, ул. Механизаторов, 41, кв. 26	Серия 4658 Номер 621200
45462588	Дмитриев Мирон Ильич	13.04.1985	410569, г. Москва, ул. Парковая, 36, кв. 17	Серия 4908 Номер 634613
45462589	Лебедева Анна Александровна	30.03.1985	443375, г. Москва, ул. Дзержинского, 50, кв. 95	Серия 5092 Номер 642468
45462590	Пономарев Артём Маркович	02.06.1984	614316, г. Москва, ул. Первомайская, 48, кв. 31	Серия 5155 Номер 465274
45462591	Борисова Елена Михайловна	23.05.1976	445685, г. Москва, ул. Зеленая, 7, кв. 47	Серия 5086 Номер 666893
45462592	Моисеев Камиль Максимович	17.06.1999	614505, г. Москва, ул. Нагорная, 37, кв. 31	Серия 5333 Номер 675375
45462593	Герасимова Дарья Константиновна	13.10.1984	426629, г. Москва, ул. Весенняя, 32, кв. 46	Серия 5493 Номер 684572
45462594	Михайлова Мария Марковна	02.12.1976	603743, г. Москва, ул. Матросова, 19, кв. 20	Серия 5150 Номер 696226
45462595	Коршунов Кирилл Максимович	22.05.1985	450750, г. Москва, ул. Клубная, 23, кв. 90	Серия 1308 Номер 703305
